site_id,date,latitude,longitude,elevation,slope,aspect,soil_ph,soil_moisture,temperature,precipitation,land_use,habitat_type,Quercus_alba,Acer_saccharum,Fagus_grandifolia,Betula_alleghaniensis,Tsuga_canadensis,Pinus_strobus,Fraxinus_americana,Tilia_americana,Ulmus_americana,Carya_ovata,Juglans_nigra,Populus_tremuloides,Prunus_serotina,Amelanchier_canadensis,Viburnum_lantanoides,Sambucus_canadensis,Cornus_florida,Rhododendron_maximum,Kalmia_latifolia,Vaccinium_corymbosum,Gaultheria_procumbens,Mitchella_repens,Trientalis_borealis,Maianthemum_canadense,Dryopteris_marginalis,Polystichum_acrostichoides,Athyrium_filix_femina,Osmunda_claytoniana,Pteridium_aquilinum
SITE_001,2023-06-15,44.2619,-72.5806,850,15,180,6.2,0.35,18.5,120,forest,deciduous,25,18,12,8,0,0,6,4,2,0,0,15,3,8,12,6,2,0,0,5,15,8,12,20,18,10,6,8,0
SITE_002,2023-06-16,44.2634,-72.5821,875,22,165,6.0,0.42,17.8,125,forest,mixed,32,22,16,12,8,6,8,6,1,4,0,12,5,6,10,4,3,2,1,8,12,6,10,16,22,8,4,6,2
SITE_003,2023-06-17,44.2651,-72.5835,900,28,150,5.8,0.48,17.2,130,forest,mixed,28,20,18,15,12,10,5,8,0,6,2,8,4,4,8,2,4,4,3,12,10,4,8,18,20,12,8,10,5
SITE_004,2023-06-18,44.2668,-72.5849,925,35,135,5.6,0.55,16.5,135,forest,coniferous,15,12,10,18,20,16,2,4,0,2,0,6,2,2,6,1,2,8,6,16,8,2,6,15,18,16,12,14,8
SITE_005,2023-06-19,44.2685,-72.5864,950,42,120,5.4,0.62,15.8,140,forest,coniferous,8,6,5,22,25,20,1,2,0,1,0,4,1,1,4,0,1,12,10,20,6,1,4,12,16,20,16,18,12
SITE_006,2023-06-20,44.2702,-72.5878,975,18,200,6.4,0.38,18.2,118,forest,deciduous,30,24,20,6,0,2,10,8,3,8,4,18,6,10,15,8,5,0,0,4,18,12,15,22,24,8,4,5,1
SITE_007,2023-06-21,44.2719,-72.5892,825,12,185,6.6,0.32,19.1,115,forest,deciduous,35,28,15,4,0,1,12,10,4,12,6,22,8,12,18,10,6,0,0,2,20,15,18,25,28,6,2,3,0
SITE_008,2023-06-22,44.2736,-72.5907,800,8,170,6.8,0.28,19.8,110,edge,edge,28,20,8,2,0,3,15,6,6,15,8,25,10,15,12,12,8,1,0,6,16,18,12,20,22,4,6,2,3
SITE_009,2023-06-23,44.2753,-72.5921,775,5,155,7.0,0.25,20.5,105,edge,edge,22,15,4,1,0,5,18,4,8,18,12,28,12,18,8,15,10,0,0,8,12,20,10,18,20,2,8,1,5
SITE_010,2023-06-24,44.2770,-72.5935,750,3,140,7.2,0.22,21.2,100,grassland,grassland,5,2,0,0,0,2,6,1,4,8,6,35,8,12,4,18,6,0,0,12,8,25,6,10,12,1,10,0,8
SITE_011,2023-07-05,44.2787,-72.5950,1000,45,105,5.2,0.68,15.1,145,forest,coniferous,4,3,2,25,30,24,0,1,0,0,0,2,0,0,2,0,0,15,12,25,4,0,2,8,12,24,20,22,15
SITE_012,2023-07-06,44.2804,-72.5964,1025,52,90,5.0,0.75,14.4,150,forest,coniferous,2,1,1,28,35,28,0,0,0,0,0,1,0,0,1,0,0,18,15,28,2,0,1,6,8,28,24,26,18
SITE_013,2023-07-07,44.2821,-72.5978,875,25,175,6.1,0.45,17.5,128,forest,mixed,26,19,14,10,6,8,7,5,2,3,1,10,4,5,9,3,3,3,2,10,11,5,9,17,20,9,5,7,3
SITE_014,2023-07-08,44.2838,-72.5993,850,20,160,6.3,0.40,18.0,122,forest,deciduous,33,26,18,5,0,3,9,7,3,10,5,16,7,11,16,7,4,1,0,6,17,11,16,24,26,7,3,4,1
SITE_015,2023-07-09,44.2855,-72.6007,825,15,145,6.5,0.35,18.8,117,forest,deciduous,36,30,22,3,0,1,11,9,5,13,7,20,9,13,19,9,5,0,0,4,19,13,19,27,30,5,1,2,0
SITE_016,2023-07-10,44.2872,-72.6021,900,30,130,5.9,0.50,16.8,132,forest,mixed,20,14,12,16,14,12,4,6,1,4,1,7,3,3,7,2,3,6,4,14,9,3,7,16,17,14,10,12,6
SITE_017,2023-07-11,44.2889,-72.6036,950,40,115,5.5,0.60,16.0,138,forest,coniferous,10,8,6,20,22,18,2,3,0,2,0,5,1,1,5,1,1,10,8,18,7,1,5,13,15,18,14,16,10
SITE_018,2023-07-12,44.2906,-72.6050,780,6,190,6.9,0.30,19.5,108,edge,edge,25,18,6,1,0,4,16,5,7,16,10,26,11,16,10,14,9,0,0,7,14,19,11,19,21,3,7,1,4
SITE_019,2023-07-13,44.2923,-72.6064,760,4,175,7.1,0.27,20.0,103,grassland,grassland,8,4,1,0,0,3,8,2,5,12,8,32,10,14,6,16,8,0,0,10,10,23,8,12,14,1,9,0,6
SITE_020,2023-07-14,44.2940,-72.6079,740,2,160,7.3,0.24,20.8,98,grassland,grassland,3,1,0,0,0,1,4,1,3,6,4,38,6,10,3,20,5,0,0,14,6,28,5,8,10,0,12,0,10
SITE_021,2023-08-01,44.3020,-72.5650,880,16,182,6.1,0.36,18.3,121,forest,deciduous,27,19,13,7,0,0,7,5,2,1,0,14,4,9,13,7,3,0,0,5,16,9,13,21,19,9,5,7,0
SITE_022,2023-08-02,44.3037,-72.5665,905,24,167,5.9,0.44,17.6,126,forest,mixed,29,21,15,11,7,7,6,7,1,3,1,11,4,7,11,5,4,3,2,9,13,7,11,18,21,10,6,8,3
SITE_023,2023-08-03,44.3054,-72.5679,930,32,152,5.7,0.52,16.9,131,forest,mixed,24,17,16,14,11,9,4,6,0,5,1,9,3,5,9,3,3,5,4,13,11,5,9,17,19,11,7,9,4
SITE_024,2023-08-04,44.3071,-72.5693,955,38,137,5.5,0.58,16.2,136,forest,coniferous,12,9,8,19,21,17,2,3,0,2,0,5,1,2,5,1,2,9,7,17,7,2,5,14,17,17,13,15,9
SITE_025,2023-08-05,44.3088,-72.5708,980,44,122,5.3,0.65,15.5,141,forest,coniferous,6,4,3,23,26,21,1,1,0,1,0,3,0,1,3,0,1,13,11,21,5,1,3,11,15,21,17,19,13
SITE_026,2023-08-06,44.3105,-72.5722,805,10,187,6.7,0.31,19.0,114,forest,deciduous,32,25,17,5,0,2,11,9,4,11,5,19,7,11,17,9,5,0,0,3,19,14,17,26,25,7,3,4,1
SITE_027,2023-08-07,44.3122,-72.5736,785,7,172,6.9,0.29,19.6,109,edge,edge,26,19,7,2,0,3,14,5,6,14,9,24,10,14,11,13,8,1,0,6,15,17,11,20,22,4,6,2,3
SITE_028,2023-08-08,44.3139,-72.5751,765,4,157,7.1,0.26,20.3,104,grassland,grassland,6,3,0,0,0,2,7,1,4,9,7,34,9,13,5,17,7,0,0,11,9,24,7,11,13,1,8,0,7
SITE_029,2023-08-09,44.3156,-72.5765,745,2,142,7.3,0.23,21.0,99,grassland,grassland,2,1,0,0,0,1,3,0,2,5,3,36,5,9,2,19,4,0,0,13,5,27,4,7,9,0,11,0,9
SITE_030,2023-08-10,44.3173,-72.5779,725,1,127,7.5,0.20,21.7,94,grassland,grassland,1,0,0,0,0,0,2,0,1,3,1,40,3,7,1,22,3,0,0,15,3,30,3,5,7,0,13,0,12
SITE_031,2023-05-15,44.2580,-72.6100,890,18,178,6.0,0.37,17.8,123,forest,deciduous,24,17,11,6,0,0,6,4,2,2,0,13,3,7,11,6,2,0,0,4,14,8,11,19,17,8,4,6,0
SITE_032,2023-05-16,44.2597,-72.6115,915,26,163,5.8,0.43,17.1,128,forest,mixed,31,23,17,13,9,8,7,7,1,4,1,12,5,6,10,4,4,2,1,8,12,6,10,17,23,9,5,7,2
SITE_033,2023-05-17,44.2614,-72.6129,940,33,148,5.6,0.51,16.4,133,forest,mixed,27,19,16,15,13,11,5,7,0,6,2,8,4,4,8,2,4,4,3,12,10,4,8,16,19,11,7,9,4
SITE_034,2023-05-18,44.2631,-72.6143,965,41,133,5.4,0.57,15.7,138,forest,coniferous,14,11,9,17,19,15,2,4,0,2,0,6,2,2,6,1,2,7,5,15,7,2,6,14,16,15,11,13,7
SITE_035,2023-05-19,44.2648,-72.6158,990,47,118,5.2,0.64,15.0,143,forest,coniferous,7,5,4,21,24,19,1,2,0,1,0,4,1,1,4,0,1,11,9,19,5,1,4,11,14,19,15,17,11
SITE_036,2023-05-20,44.2665,-72.6172,820,13,193,6.5,0.33,18.7,116,forest,deciduous,29,23,19,5,0,1,9,7,3,9,4,17,6,10,14,8,4,0,0,3,17,11,14,23,23,6,2,3,0
SITE_037,2023-05-21,44.2682,-72.6186,800,9,178,6.7,0.30,19.4,111,edge,edge,27,20,9,3,0,3,13,6,5,13,8,23,9,13,12,11,7,1,0,5,14,16,12,19,21,5,5,3,2
SITE_038,2023-05-22,44.2699,-72.6201,780,5,163,6.9,0.27,20.1,106,edge,edge,20,14,5,1,0,4,15,4,7,15,10,27,11,15,9,13,9,0,0,7,11,18,9,17,19,3,7,1,4
SITE_039,2023-05-23,44.2716,-72.6215,760,3,148,7.1,0.25,20.8,101,grassland,grassland,7,3,1,0,0,2,9,2,4,10,6,31,8,11,5,15,6,0,0,9,7,21,5,9,11,1,9,0,6
SITE_040,2023-05-24,44.2733,-72.6229,740,1,133,7.3,0.22,21.5,96,grassland,grassland,3,1,0,0,0,1,5,1,2,6,3,35,5,8,2,18,4,0,0,12,4,25,3,6,8,0,11,0,8
SITE_041,2023-09-10,44.2500,-72.5500,870,17,181,6.1,0.36,18.1,122,forest,deciduous,26,18,12,7,0,0,6,4,2,1,0,14,3,8,12,6,2,0,0,5,15,8,12,20,18,8,4,6,0
SITE_042,2023-09-11,44.2517,-72.5515,895,25,166,5.9,0.43,17.4,127,forest,mixed,30,22,16,12,8,7,7,6,1,4,1,11,4,6,10,4,3,2,1,8,12,6,10,17,22,9,5,7,2
SITE_043,2023-09-12,44.2534,-72.5529,920,31,151,5.7,0.49,16.7,132,forest,mixed,26,19,17,14,12,10,5,7,0,5,2,8,4,4,8,2,4,4,3,12,10,4,8,17,19,11,7,9,4
SITE_044,2023-09-13,44.2551,-72.5543,945,39,136,5.5,0.56,16.0,137,forest,coniferous,13,10,8,18,20,16,2,4,0,2,0,6,2,2,6,1,2,8,6,16,7,2,6,14,16,16,12,14,8
SITE_045,2023-09-14,44.2568,-72.5558,970,46,121,5.3,0.63,15.3,142,forest,coniferous,7,5,4,22,25,20,1,2,0,1,0,4,1,1,4,0,1,12,10,20,5,1,4,12,15,20,16,18,12
SITE_046,2023-09-15,44.2585,-72.5572,810,11,186,6.6,0.32,18.9,115,forest,deciduous,31,24,18,6,0,2,10,8,3,8,4,18,6,10,15,8,5,0,0,4,18,12,15,22,24,7,3,4,1
SITE_047,2023-09-16,44.2602,-72.5586,790,8,171,6.8,0.29,19.5,110,edge,edge,25,19,8,2,0,3,14,5,6,14,8,24,9,14,11,12,8,1,0,6,15,17,11,19,21,4,6,2,3
SITE_048,2023-09-17,44.2619,-72.5601,770,4,156,7.0,0.26,20.2,105,grassland,grassland,8,4,1,0,0,2,8,2,4,11,7,32,9,13,6,16,7,0,0,10,9,23,6,10,12,1,9,0,7
SITE_049,2023-09-18,44.2636,-72.5615,750,2,141,7.2,0.23,20.9,100,grassland,grassland,4,2,0,0,0,1,4,1,3,7,4,36,6,10,3,19,5,0,0,13,5,27,4,7,9,0,11,0,9
SITE_050,2023-09-19,44.2653,-72.5629,730,1,126,7.4,0.21,21.6,95,grassland,grassland,2,1,0,0,0,0,3,0,2,4,2,39,4,8,2,21,3,0,0,14,3,29,2,5,7,0,12,0,11