year,population,household_size
2001,4503436,
2002,4524066,
2003,4552252,
2004,4577457,
2005,4606363,
2006,4640219,
2007,4681134,
2008,4737171,
2009,4799252,
2010,4858199,2.22
2011,4920305,2.22
2012,4985870,2.22
2013,5051275,2.2
2014,5109056,2.2
2015,5165802,2.2
2016,5213985,2.19
2017,5258317,2.19
2018,5295619,2.17
2019,5328212,2.16
2020,5367580,2.15
2021,5391369,2.14
2022,5425270,2.13
2023,5488984,2.12
2024,5550203,2.115
2025,5600121,2.11
2026,5638838,2.105
2027,5666689,2.1
2028,5694657,2.095
2029,5722427,2.09
2030,5749712,2.085
2031,5776723,2.081
2032,5803284,2.077
2033,5829350,2.073
2034,5855072,2.07
2035,5880318,2.067
2036,5905184,2.064
2037,5928866,2.062
2038,5951491,2.06
2039,5973100,2.059
2040,5993766,2.058
2041,6013501,2.057
2042,6032325,2.056
2043,6050194,2.055
2044,6067121,2.054
2045,6083032,2.053
2046,6097893,2.052
2047,6111684,2.051
2048,6124356,2.05
2049,6135899,2.05
2050,6146321,2.05