"year","Existing buildings Chalet, summerhouses and other holiday houses","Existing buildings Detached houses and farmhouses used as holiday houses"
"2001",354060,23267
"2002",358997,26514
"2003",363889,26758
"2004",368933,26998
"2005",374470,27376
"2006",379169,27604
"2007",383112,27927
"2008",388938,28953
"2009",394102,29593
"2010",398884,30209
"2011",405883,32374
"2012",410333,32436
"2013",413318,32600
"2014",416621,32539
"2015",419449,32559
"2016",423041,32727
"2017",426932,32808
"2018",431028,32891
"2019",434809,32869
"2020",437833,32906
"2021",440443,33099
"2022",445715,33283
"2023",449009,32819
"2024",450492,32442